car_name,yr_mfr,fuel_type,kms_run,city,body_type,transmission,total_owners,original_price,warranty_avail,sale_price
maruti alto k10,2017,petrol,11976,gurgaon,hatchback,manual,1,391940,FALSE,323999
maruti baleno,2016,petrol,20092,gurgaon,hatchback,manual,1,587400,FALSE,499499
maruti alto k10,2010,petrol,41190,gurgaon,hatchback,manual,1,242925,FALSE,183599
maruti alto,2010,petrol,47182,gurgaon,hatchback,manual,1,200043,FALSE,158599
honda city,2011,petrol,61632,gurgaon,sedan,manual,1,356538,FALSE,343099
hyundai grand i10,2013,petrol,40273,gurgaon,hatchback,manual,1,366899,FALSE,350099
honda amaze,2017,petrol,23274,gurgaon,sedan,manual,1,533899,FALSE,520199
maruti alto 800,2018,petrol,27886,gurgaon,hatchback,manual,1,369510,FALSE,289299
hyundai verna,2012,diesel,48288,gurgaon,sedan,manual,1,500914,FALSE,410499
hyundai grand i10,2017,petrol,43373,gurgaon,hatchback,manual,2,396800,FALSE,368699
hyundai grand i10,2016,petrol,43120,gurgaon,hatchback,manual,1,414424,FALSE,401299
honda brio,2013,petrol,56137,gurgaon,hatchback,manual,1,323331,FALSE,251499
renault kwid,2017,petrol,38245,gurgaon,hatchback,manual,2,232866,FALSE,229499
maruti swift,2015,diesel,52490,gurgaon,hatchback,manual,1,526496,FALSE,424499
hyundai i10,2009,petrol,53021,gurgaon,hatchback,manual,1,214760,FALSE,173899
hyundai grand i10,2016,petrol,60011,gurgaon,hatchback,manual,1,406750,FALSE,394299
maruti wagon r 1.0,2017,petrol,51476,gurgaon,hatchback,manual,1,317400,FALSE,308199
toyota etios liva,2014,diesel,59700,gurgaon,hatchback,manual,2,404633,FALSE,386999
maruti alto 800,2014,petrol,31745,gurgaon,hatchback,manual,1,277799,FALSE,266399
maruti swift,2015,diesel,63435,gurgaon,hatchback,manual,1,534128,FALSE,446199
maruti ciaz,2016,petrol,47218,gurgaon,sedan,manual,1,548500,FALSE,547199
maruti celerio,2014,petrol,43574,gurgaon,hatchback,manual,1,358143,FALSE,307299
maruti swift,2015,diesel,66476,gurgaon,hatchback,manual,1,456560,FALSE,401299
maruti swift,2019,petrol,14775,gurgaon,hatchback,automatic,1,630699,FALSE,630599
hyundai i10,2011,petrol,45122,gurgaon,hatchback,manual,3,256714,FALSE,232999
honda city,2016,petrol,56403,gurgaon,sedan,manual,1,696694,TRUE,580899
maruti vitara brezza,2017,diesel,27711,gurgaon,suv,manual,1,784833,FALSE,739899
maruti swift,2009,petrol,79226,gurgaon,hatchback,manual,1,213413,FALSE,198799
hyundai i10,2011,petrol,73453,gurgaon,hatchback,manual,1,270330,FALSE,221699
honda city,2016,diesel,51803,gurgaon,sedan,manual,2,598403,FALSE,574899
maruti swift,2007,petrol,95040,gurgaon,hatchback,manual,1,185745,FALSE,149199
maruti baleno,2016,petrol,43864,gurgaon,hatchback,manual,1,495000,FALSE,486899
maruti vitara brezza,2018,diesel,14337,gurgaon,suv,automatic,1,1042014,FALSE,1010806
maruti vitara brezza,2018,diesel,21843,gurgaon,suv,manual,2,833470,FALSE,783599
maruti vitara brezza,2018,diesel,17350,gurgaon,suv,automatic,1,974525,FALSE,921299
maruti vitara brezza,2019,diesel,26930,gurgaon,suv,manual,1,985423,FALSE,796099
maruti swift,2014,diesel,79144,gurgaon,hatchback,manual,1,449346,FALSE,381099
maruti swift,2013,diesel,68546,gurgaon,hatchback,manual,1,369999,FALSE,353499
maruti swift,2015,diesel,70952,gurgaon,hatchback,manual,1,546600,FALSE,446499
honda jazz,2016,petrol,84427,gurgaon,hatchback,manual,1,507260,FALSE,435399
toyota etios,2011,diesel,114464,gurgaon,sedan,manual,1,307028,FALSE,235099
toyota innova,2012,diesel,78059,gurgaon,suv,manual,1,621403,TRUE,549699
